symbol,total_pairs,min_horizon_sessions,max_horizon_sessions,distinct_ref_dates,distinct_tgt_dates
NIVABUPA,21,1,7,6,6
NITINSPIN,21,1,7,6,6
NILASPACES,21,1,7,6,6
NIACL,21,1,7,6,6
NHPC,21,1,7,6,6
DAVANGERE,21,1,7,6,6
DATAPATTNS,21,1,7,6,6
NSLNISP,21,1,7,6,6
NRBBEARING,21,1,7,6,6
CONCORDBIO,21,1,7,6,6
CONCOR,21,1,7,6,6
CYIENT,21,1,7,6,6
CUPID,21,1,7,6,6
CUMMINSIND,21,1,7,6,6
CUB,21,1,7,6,6
CSBBANK,21,1,7,6,6
DEEDEV,21,1,7,6,6
DECNGOLD,21,1,7,6,6
DCBBANK,21,1,7,6,6
DBOL,21,1,7,6,6
NH,21,1,7,6,6
NEWGEN,21,1,7,6,6
NEULANDLAB,21,1,7,6,6
CRAMC,21,1,7,6,6
CPPLUS,21,1,7,6,6
COROMANDEL,21,1,7,6,6
CORDELIA,21,1,7,6,6
NELCO,21,1,7,6,6
NCC,21,1,7,6,6
NBCC,21,1,7,6,6
NAZARA,21,1,7,6,6
NAVINFLUOR,21,1,7,6,6
NAVA,21,1,7,6,6
NAUKRI,21,1,7,6,6
NATIONALUM,21,1,7,6,6
NATCOPHARM,21,1,7,6,6
DHOOTTRANS,21,1,7,6,6
DHANBANK,21,1,7,6,6
DHAMPURSUG,21,1,7,6,6
DALMIASUG,21,1,7,6,6
DALBHARAT,21,1,7,6,6
DABUR,21,1,7,6,6
CYIENTDLM,21,1,7,6,6
DEEPAKFERT,21,1,7,6,6
NAM-INDIA,21,1,7,6,6
NACLIND,21,1,7,6,6
MVELECTRO,21,1,7,6,6
MUTHOOTFIN,21,1,7,6,6
MTNL,21,1,7,6,6
MSUMI,21,1,7,6,6
DMART,21,1,7,6,6
DLF,21,1,7,6,6
DIXON,21,1,7,6,6
DIVISLAB,21,1,7,6,6
DIVGIITTS,21,1,7,6,6
NETWORK18,21,1,7,6,6
NETWEB,21,1,7,6,6
NESTLEIND,21,1,7,6,6
NEOGEN,21,1,7,6,6
MPHASIS,21,1,7,6,6
MOTISONS,21,1,7,6,6
MOTILALOFS,21,1,7,6,6
MOTHERSON,21,1,7,6,6
MOSCHIP,21,1,7,6,6
MOREPENLAB,21,1,7,6,6
MOLBIO,21,1,7,6,6
EASEMYTRIP,21,1,7,6,6
DYNAMATECH,21,1,7,6,6
DYCL,21,1,7,6,6
DWARKESH,21,1,7,6,6
DRREDDY,21,1,7,6,6
DEVYANI,21,1,7,6,6
DELHIVERY,21,1,7,6,6
DEEPINDS,21,1,7,6,6
DEEPAKNTR,21,1,7,6,6
MMTC,21,1,7,6,6
MINDACORP,21,1,7,6,6
MIDHANI,21,1,7,6,6
MGL,21,1,7,6,6
MFSL,21,1,7,6,6
METROPOLIS,21,1,7,6,6
MEESHO,21,1,7,6,6
EIEL,21,1,7,6,6
EIDPARRY,21,1,7,6,6
EICHERMOT,21,1,7,6,6
EDELWEISS,21,1,7,6,6
EBGNG,21,1,7,6,6
DISHTV,21,1,7,6,6
DIFFNKG,21,1,7,6,6
MSTCLTD,21,1,7,6,6
MRPL,21,1,7,6,6
MBEL,21,1,7,6,6
MAZDOCK,21,1,7,6,6
MAXHEALTH,21,1,7,6,6
MASTEK,21,1,7,6,6
MARUTI,21,1,7,6,6
MARKSANS,21,1,7,6,6
MARINE,21,1,7,6,6
MARICO,21,1,7,6,6
MAPMYINDIA,21,1,7,6,6
MANYAVAR,21,1,7,6,6
MANORAMA,21,1,7,6,6
MANKIND,21,1,7,6,6
DOMS,21,1,7,6,6
DODLA,21,1,7,6,6
MOIL,21,1,7,6,6
MOBIKWIK,21,1,7,6,6
SHYAMMETL,21,1,7,6,6
EMAMILTD,21,1,7,6,6
ELLEN,21,1,7,6,6
ELITECON,21,1,7,6,6
ELGIEQUIP,21,1,7,6,6
EQUITASBNK,21,1,7,6,6
EPL,21,1,7,6,6
EPACK,21,1,7,6,6
ENTERO,21,1,7,6,6
ENRIN,21,1,7,6,6
ENGINERSIN,21,1,7,6,6
ENDURANCE,21,1,7,6,6
MEDIASSIST,21,1,7,6,6
MEDANTA,21,1,7,6,6
MCX,21,1,7,6,6
MCLOUD,21,1,7,6,6
EMSLIMITED,21,1,7,6,6
EMMVEE,21,1,7,6,6
EMIL,21,1,7,6,6
EMCURE,21,1,7,6,6
ALPINETEX,21,1,8,6,6
SGFIN,21,1,7,6,6
SETL,21,1,7,6,6
SEPC,21,1,7,6,6
SENORES,21,1,7,6,6
SENCO,21,1,7,6,6
SEDEMAC,21,1,7,6,6
APOLLOPIPE,21,1,8,6,6
SJS,21,1,7,6,6
SIS,21,1,7,6,6
SIGACHI,21,1,7,6,6
SIEMENS,21,1,7,6,6
FINOPB,21,1,7,6,6
FINKURVE,21,1,7,6,6
EMUDHRA,21,1,7,6,6
MANINFRA,21,1,7,6,6
MANINDS,21,1,7,6,6
MANAPPURAM,21,1,7,6,6
MAMATA,21,1,7,6,6
MAITHANALL,21,1,7,6,6
MAHSEAMLES,21,1,7,6,6
MAHABANK,21,1,7,6,6
MACPOWER,21,1,7,6,6
M&MFIN,21,1,7,6,6
M&M,21,1,7,6,6
LXCHEM,21,1,7,6,6
LUPIN,21,1,7,6,6
MANIPALHOS,21,1,7,6,6
LAURUSLABS,21,1,7,6,6
GAEL,21,1,7,6,6
EXCELSOFT,21,1,6,6,6
EUROPRATIK,21,1,7,6,6
ETERNAL,21,1,7,6,6
LUMAXTECH,21,1,7,6,6
LTTS,21,1,7,6,6
LTM,21,1,7,6,6
LTFOODS,21,1,7,6,6
LTF,21,1,7,6,6
LT,21,1,7,6,6
LODHA,21,1,7,6,6
LLOYDSME,21,1,7,6,6
LLOYDSENGG,21,1,7,6,6
LICI,21,1,7,6,6
FINPIPE,21,1,7,6,6
SOTL,21,1,7,6,6
SONATSOFTW,21,1,7,6,6
SONACOMS,21,1,7,6,6
FORCEMOT,21,1,7,6,6
FLUOROCHEM,21,1,7,6,6
GATEWAY,21,1,7,6,6
GARUDA,21,1,7,6,6
GANGAFORGE,21,1,7,6,6
GALAXYSURF,21,1,7,6,6
FILATFASH,21,1,7,6,6
LICHSGFIN,21,1,7,6,6
