symbol,total_pairs,min_horizon_sessions,max_horizon_sessions,distinct_ref_dates,distinct_tgt_dates
CASTROLIND,15,1,7,5,5
CARRARO,15,1,6,5,5
CARERATING,15,1,7,5,5
CAPLIPOINT,15,1,7,5,5
BOSCH-HCIL,15,1,6,5,5
BORORENEW,15,1,7,5,5
PITTIENG,15,1,7,5,5
OSWALSEEDS,15,1,7,5,5
CEWATER,15,1,7,5,5
SAKAR,15,1,7,5,5
VIKASECO,15,1,7,5,5
VIJAYA,15,1,7,5,5
VIDYAWIRES,15,1,7,5,5
VGUARD,15,1,7,5,5
GULPOLY,15,1,7,5,5
GULFOILLUB,15,1,7,5,5
GUJTHEM,15,1,7,5,5
JLHL,15,1,7,5,5
JKTYRE,15,1,7,5,5
JGCHEM,15,1,7,5,5
JASH,15,1,7,5,5
HARSHA,15,1,7,5,5
HAPPYFORGE,15,1,7,5,5
GPTINFRA,15,1,7,5,5
KALAMANDIR,15,1,7,5,5
KABRAEXTRU,15,1,7,5,5
JYOTISTRUC,15,1,6,5,5
SFL,15,1,7,5,5
SERVOTECH,15,1,5,5,5
SDBL,15,1,7,5,5
SALSTEEL,15,1,6,5,5
SALASAR,15,1,7,5,5
SAKUMA,15,1,6,5,5
STYRENIX,15,1,6,5,5
STYLEBAAZA,15,1,7,5,5
STYLAMIND,15,1,7,5,5
STYL,15,1,7,5,5
STLNETWORK,15,1,7,5,5
PNGSREVA,15,1,7,5,5
PIXTRANS,15,1,6,5,5
BIKAJI,15,1,7,5,5
RTNINDIA,15,1,7,5,5
RSL,15,1,7,5,5
JUSTDIAL,15,1,5,5,5
VENUSPIPES,15,1,7,5,5
VEDPOWER,15,1,7,5,5
VEDL,15,1,7,5,5
VBL,15,1,7,5,5
VARROC,15,1,7,5,5
VAML,15,1,7,5,5
VAKRANGEE,15,1,7,5,5
GOCOLORS,15,1,7,5,5
GRMOVER,15,1,6,5,5
JSLL,15,1,7,5,5
GREENPLY,15,1,6,5,5
GREENPANEL,15,1,7,5,5
GLOBUSSPR,15,1,7,5,5
SHIPROCKET,15,1,5,5,5
SGMART,15,1,5,5,5
AVADHSUGAR,15,1,7,5,5
POWERMECH,15,1,7,5,5
CEINSYS,15,1,7,5,5
CEIGALL,15,1,7,5,5
CCL,15,1,7,5,5
ORIENTELEC,15,1,5,5,5
CANFINHOME,15,1,7,5,5
PANAMAPET,15,1,7,5,5
ADVAIT,15,1,8,5,5
SUMICHEM,15,1,6,5,5
SULA,15,1,7,5,5
CELLO,15,1,7,5,5
CMLL,15,1,7,5,5
CRAFTSMAN,15,1,7,5,5
SURYODAY,15,1,7,5,5
SURYAROSNI,15,1,6,5,5
V2RETAIL,15,1,7,5,5
UTTAMSUGAR,15,1,7,5,5
UTLSOLAR,15,1,7,5,5
UTKARSHBNK,15,1,7,5,5
UTIAMC,15,1,7,5,5
USHAMART,15,1,7,5,5
URJA,15,1,7,5,5
URBANCO,15,1,7,5,5
UPL,15,1,7,5,5
UNOMINDA,15,1,7,5,5
KAVDEFENCE,15,1,7,5,5
KAPSTON,15,1,7,5,5
KANSAINER,15,1,7,5,5
UNITECH,15,1,7,5,5
UNITDSPR,15,1,7,5,5
GEOJITFSL,15,1,7,5,5
KPL,15,1,7,5,5
KPEL,15,1,7,5,5
KMSUGAR,15,1,6,5,5
KMEW,15,1,7,5,5
GMMPFAUDLR,15,1,7,5,5
KSOLVES,15,1,7,5,5
KSL,15,1,5,5,5
VAIBHAVGBL,15,1,7,5,5
OPTIEMUS,15,1,5,5,5
NIITLTD,15,1,5,5,5
DATAMATICS,15,1,7,5,5
DAMCAPITAL,15,1,7,5,5
ULTRACEMCO,15,1,7,5,5
UJJIVANSFB,15,1,7,5,5
RHIM,15,1,7,5,5
RHETAN,15,1,6,5,5
RGL,15,1,6,5,5
REPCOHOME,15,1,7,5,5
RELTD,15,1,7,5,5
AYE,15,1,7,5,5
ROUTE,15,1,6,5,5
ROTO,15,1,7,5,5
NPST,15,1,7,5,5
DBCORP,15,1,7,5,5
NFL,15,1,5,5,5
NESCO,15,1,6,5,5
SYRMA,15,1,7,5,5
SYNGENE,15,1,7,5,5
SYNCOMF,15,1,7,5,5
SYMPHONY,15,1,7,5,5
SWSOLAR,15,1,7,5,5
SWIGGY,15,1,7,5,5
KUSUMGAR,15,1,6,5,5
FDC,15,1,6,5,5
LIBERTSHOE,15,1,6,5,5
LGBBROSLTD,15,1,7,5,5
KSHITIJPOL,15,1,7,5,5
KSB,15,1,6,5,5
KRSNAA,15,1,7,5,5
GILLETTE,15,1,6,5,5
UNIPARTS,15,1,7,5,5
UNIONBANK,15,1,7,5,5
UNIMECH,15,1,7,5,5
EUREKAFORB,15,1,6,5,5
ESSENTIA,15,1,7,5,5
LLOYDSENT,15,1,6,5,5
LINDEINDIA,15,1,7,5,5
UGARSUGAR,15,1,7,5,5
UFLEX,15,1,7,5,5
UCOBANK,15,1,7,5,5
GCSL,15,1,7,5,5
GALLANTT,15,1,7,5,5
LAOPALA,15,1,7,5,5
POLYMED,15,1,7,5,5
BOMDYEING,15,1,6,5,5
SOMANYCERA,15,1,7,5,5
SOBHA,15,1,7,5,5
PSB,15,1,7,5,5
PRSMJOHNSN,15,1,7,5,5
PRINCEPIPE,15,1,7,5,5
RICOAUTO,15,1,6,5,5
FERMENTA,15,1,7,5,5
TVSSCS,15,1,7,5,5
TVSMOTOR,15,1,7,5,5
TURTLEMINT,15,1,7,5,5
TTKPRESTIG,15,1,7,5,5
TRUALT,15,1,7,5,5
TRIVENI,15,1,7,5,5
TRITURBINE,15,1,7,5,5
LATENTVIEW,15,1,7,5,5
LASERPOWER,15,1,7,5,5
FREDUN,15,1,7,5,5
NEPHROPLUS,15,1,7,5,5
NDL,15,1,7,5,5
DHANUKA,15,1,6,5,5
DDEVPLSTIK,15,1,7,5,5
DCXINDIA,15,1,6,5,5
MUKKA,15,1,7,5,5
TATASTEEL,15,1,7,5,5
TATAPOWER,15,1,7,5,5
TATAINVEST,15,1,7,5,5
TRANSRAILL,15,1,7,5,5
TORNTPOWER,15,1,7,5,5
TORNTPHARM,15,1,7,5,5
TNPETRO,15,1,7,5,5
TMPV,15,1,7,5,5
RCF,15,1,5,5,5
RAYMONDREL,15,1,5,5,5
RATNAMANI,15,1,5,5,5
BBTC,15,1,7,5,5
SHUKRAPHAR,15,1,7,5,5
SHRIRAMFIN,15,1,7,5,5
SHRIPISTON,15,1,7,5,5
EPACKPEB,15,1,7,5,5
MANGLMCEM,15,1,5,5,5
MANALIPETC,15,1,7,5,5
MASFIN,15,1,5,5,5
MARSONS,15,1,7,5,5
MARATHON,15,1,7,5,5
MAHLIFE,15,1,7,5,5
EXPLEOSOL,15,1,7,5,5
TRIDENT,15,1,7,5,5
TRENT,15,1,7,5,5
TATAELXSI,15,1,7,5,5
TATACONSUM,15,1,7,5,5
TATACOMM,15,1,7,5,5
TATACHEM,15,1,7,5,5
TATACAP,15,1,7,5,5
TARIL,15,1,7,5,5
PRECAM,15,1,5,5,5
BIRLACORPN,15,1,7,5,5
ALIVUS,15,1,8,5,5
ALICON,15,1,8,5,5
SKIPPER,15,1,7,5,5
TITAGARH,15,1,7,5,5
TIPSMUSIC,15,1,7,5,5
TINNARUBR,15,1,7,5,5
TIMKEN,15,1,7,5,5
TIMETECHNO,15,1,7,5,5
TIINDIA,15,1,7,5,5
TIIL,15,1,7,5,5
TI,15,1,7,5,5
THYROCARE,15,1,7,5,5
TMCV,15,1,7,5,5
ESCORTS,15,1,7,5,5
ERIS,15,1,7,5,5
RAJRATAN,15,1,7,5,5
RAINBOW,15,1,7,5,5
BAJEL,15,1,7,5,5
EIMCOELECO,15,1,6,5,5
ECLERX,15,1,7,5,5
MILKYMIST,15,1,5,5,5
MHRIL,15,1,7,5,5
EMBDL,15,1,7,5,5
ELECTCAST,15,1,7,5,5
ELECON,15,1,7,5,5
TITAN,15,1,7,5,5
MEDPLUS,15,1,6,5,5
THERMAX,15,1,7,5,5
THELEELA,15,1,7,5,5
THANGAMAYL,15,1,7,5,5
TFCILTD,15,1,7,5,5
TEXRAIL,15,1,7,5,5
TENNIND,15,1,7,5,5
TEMBO,15,1,7,5,5
TEJASNET,15,1,7,5,5
TEGA,15,1,7,5,5
SIGMA,15,1,6,5,5
BBL,15,1,6,5,5
BANSALWIRE,15,1,6,5,5
RATEGAIN,15,1,7,5,5
RAMBHAJO,15,1,5,5,5
MOLDTKPAC,15,1,5,5,5
ABLBL,15,1,7,5,5
TBZ,15,1,7,5,5
TATATECH,15,1,7,5,5
DELTACORP,15,1,7,5,5
RACLGEAR,15,1,5,5,5
PURVA,15,1,7,5,5
PTCIL,15,1,7,5,5
SJVN,15,1,7,5,5
SIYSIL,15,1,7,5,5
SIRCA,15,1,6,5,5
DREDGECORP,15,1,6,5,5
DPABHUSHAN,15,1,7,5,5
MOL,15,1,7,5,5
MRF,15,1,7,5,5
MPSLTD,15,1,7,5,5
METROBRAND,15,1,7,5,5
MERCURYEV,15,1,5,5,5
WELSPUNLIV,15,1,7,5,5
WELENT,15,1,7,5,5
WELCORP,15,1,7,5,5
WEBELSOLAR,15,1,7,5,5
WALCHANNAG,15,1,7,5,5
WAKEFIT,15,1,7,5,5
WHIRLPOOL,15,1,7,5,5
WHEELS,15,1,7,5,5
ZENTEC,15,1,7,5,5
ZENSARTECH,15,1,7,5,5
ZEEMEDIA,15,1,7,5,5
ZEEL,15,1,7,5,5
ZAGGLE,15,1,7,5,5
INDIGOPNTS,15,1,7,5,5
INDIASHLTR,15,1,7,5,5
INDIACEM,15,1,6,5,5
INDGN,15,1,7,5,5
AQYLON,15,1,7,5,5
ATULAUTO,15,1,7,5,5
AARTIDRUGS,15,1,8,5,5
XPROINDIA,15,1,7,5,5
WSTCSTPAPR,15,1,7,5,5
WOCKPHARMA,15,1,7,5,5
WIPRO,15,1,7,5,5
WONDERLA,10,1,7,4,4
AURUM,10,1,7,4,4
ASTEC,10,1,7,4,4
SANGAMIND,10,1,5,4,4
INDOBORAX,10,1,4,4,4
ZFCVINDIA,10,1,7,4,4
ZUARI,10,1,6,4,4
WEL,10,1,7,4,4
MONTECARLO,10,1,6,4,4
MITTAL,10,1,7,4,4
MMFL,10,1,5,4,4
DOLPHIN,10,1,6,4,4
DREAMFOLKS,10,1,7,4,4
SILVERTUC,10,1,7,4,4
SINGERIND,10,1,5,4,4
SKFINDIA,10,1,7,4,4
QUADFUTURE,10,1,6,4,4
MUTHOOTMF,10,1,6,4,4
DENTA,10,1,7,4,4
TBOTEK,10,1,7,4,4
ABBOTINDIA,10,1,8,4,4
MONARCH,10,1,6,4,4
RAMCOSYS,10,1,5,4,4
MAYURUNIQ,10,1,7,4,4
MBAPL,10,1,5,4,4
EIHOTEL,10,1,7,4,4
REDTAPE,10,1,6,4,4
BHARATSE,10,1,6,4,4
ESABINDIA,10,1,6,4,4
ESSARSHPNG,10,1,7,4,4
TMB,10,1,7,4,4
TIMEX,10,1,5,4,4
SKFINDUS,10,1,5,4,4
ALANKIT,10,1,7,4,4
ALKEM,10,1,5,4,4
TARSONS,10,1,7,4,4
TASTYBITE,10,1,7,4,4
TREL,10,1,5,4,4
FABTECH,10,1,6,4,4
MAGADSUGAR,10,1,7,4,4
EMPOWER,10,1,7,4,4
MASTERTR,10,1,7,4,4
MAWANASUG,10,1,7,4,4
SHOPERSTOP,10,1,7,4,4
SHREECEM,10,1,6,4,4
SHREEJISPG,10,1,7,4,4
BCLIND,10,1,7,4,4
DLINKINDIA,10,1,4,4,4
MUFIN,10,1,7,4,4
MUNJALAU,10,1,6,4,4
DCAL,10,1,7,4,4
NARMADA,10,1,7,4,4
NCLIND,10,1,5,4,4
TANLA,10,1,7,4,4
MAHLOG,10,1,7,4,4
TTML,10,1,7,4,4
FEDFINA,10,1,6,4,4
SHK,10,1,6,4,4
PREMIERPOL,10,1,7,4,4
PRUDENT,10,1,5,4,4
SNOWMAN,10,1,5,4,4
SOLARWORLD,10,1,7,4,4
AGI,10,1,7,4,4
AGIIL,10,1,7,4,4
AIRAN,10,1,7,4,4
AJOONI,10,1,7,4,4
COSMOFIRST,10,1,6,4,4
GAJA,10,1,4,4,4
UDS,10,1,7,4,4
LIKHITHA,10,1,7,4,4
ETHOSLTD,10,1,6,4,4
EVEREADY,10,1,7,4,4
FISCHER,10,1,5,4,4
ULTRAMAR,10,1,7,4,4
UNICHEMLAB,10,1,7,4,4
UNIECOM,10,1,6,4,4
KSCL,10,1,6,4,4
LALITHAA,10,1,4,4,4
SWARAJENG,10,1,6,4,4
TALBROAUTO,10,1,6,4,4
DBREALTY,10,1,7,4,4
NOVARTIND,10,1,7,4,4
OAL,10,1,4,4,4
CUBEXTUB,10,1,7,4,4
BAGFILMS,10,1,6,4,4
BAJAJHLDNG,10,1,6,4,4
BANCOINDIA,10,1,6,4,4
RELIGARE,10,1,7,4,4
RESPONIND,10,1,5,4,4
UGROCAP,10,1,6,4,4
NIBE,10,1,7,4,4
NIITMTS,10,1,7,4,4
NILAINFRA,10,1,6,4,4
NITCO,10,1,7,4,4
NITTAGELA,10,1,6,4,4
NOCIL,10,1,4,4,4
CORONA,10,1,6,4,4
ADVENZYMES,10,1,8,4,4
SUNSHINE,10,1,4,4,4
SUNTECK,10,1,5,4,4
SUPRAJIT,10,1,7,4,4
SURAKSHA,10,1,7,4,4
KINGFA,10,1,7,4,4
KIOCL,10,1,7,4,4
KOLTEPATIL,10,1,7,4,4
GEMAROMA,10,1,7,4,4
RML,10,1,5,4,4
KANANIIND,10,1,6,4,4
KDDL,10,1,6,4,4
UNIVCABLES,10,1,7,4,4
COCKERILL,10,1,6,4,4
SUBROS,10,1,7,4,4
SUMEETINDS,10,1,7,4,4
SUMIT,10,1,5,4,4
SUNDARMFIN,10,1,7,4,4
ADFFOODS,10,1,7,4,4
CHOICEIN,10,1,6,4,4
CLSEL,10,1,7,4,4
ONEPOINT,10,1,7,4,4
ONIXSOLAR,10,1,4,4,4
CAPACITE,10,1,7,4,4
ORIENTHOT,10,1,4,4,4
ORIENTTECH,10,1,5,4,4
ORISSAMINE,10,1,5,4,4
ORKLAINDIA,10,1,7,4,4
PRABHA,10,1,5,4,4
PRAKASHSTL,10,1,4,4,4
ANNAPURNA,10,1,7,4,4
SHALBY,10,1,5,4,4
SHANKESH,10,1,4,4,4
SHANTIGEAR,10,1,7,4,4
RMC,10,1,7,4,4
KIRLOSBROS,10,1,4,4,4
KISSHT,10,1,6,4,4
KITEX,10,1,5,4,4
KMCSHIL,10,1,6,4,4
GMBREW,10,1,4,4,4
GRWRHITECH,10,1,7,4,4
VENKEYS,10,1,7,4,4
GTL,10,1,7,4,4
CAMLINFINE,10,1,6,4,4
PLAZACABLE,10,1,6,4,4
BLEL,10,1,5,4,4
BLUEDART,10,1,7,4,4
STOVEKRAFT,10,1,4,4,4
AEROPLANE,10,1,7,4,4
AFIL,10,1,5,4,4
AGARIND,10,1,6,4,4
APLLTD,10,1,6,4,4
BAJAJINDEF,10,1,7,4,4
GPTHEALTH,10,1,7,4,4
HARDWYN,10,1,7,4,4
HEG,10,1,5,4,4
HEMIPROP,10,1,7,4,4
JKIL,10,1,7,4,4
SAKHTISUG,10,1,5,4,4
PACEDIGITK,10,1,7,4,4
PANACEABIO,10,1,4,4,4
PICCADIL,10,1,7,4,4
BUILDPRO,10,1,7,4,4
HFCL,10,1,5,4,4
HGS,10,1,7,4,4
VIKASLIFE,10,1,7,4,4
VINATIORGA,10,1,7,4,4
VINCOFE,10,1,5,4,4
VINDHYATEL,10,1,7,4,4
VISAKAIND,10,1,6,4,4
HCG,10,1,7,4,4
HORIZONIND,10,1,4,4,4
ITDC,10,1,7,4,4
IVALUE,10,1,7,4,4
VOLTAMP,10,1,5,4,4
VPRPL,10,1,7,4,4
INNOVACAP,10,1,7,4,4
HOMEFIRST,10,1,5,4,4
HONAUT,10,1,6,4,4
INDRAMEDCO,10,1,7,4,4
SPMLINFRA,10,1,4,4,4
SPORTKING,10,1,5,4,4
SREEL,10,1,7,4,4
PGHH,10,1,4,4,4
YATRA,10,1,5,4,4
ZYDUSWELL,10,1,7,4,4
5PAISA,10,1,5,4,4
3BBLACKBIO,10,1,8,4,4
3MINDIA,6,2,8,3,3
A2ZINFRA,6,2,7,3,3
ZUARIIND,6,1,6,3,3
AARON,6,1,7,3,3
WELSPLSOL,6,1,4,3,3
WANBURY,6,1,6,3,3
WEWORK,6,1,7,3,3
WESTLIFE,6,1,6,3,3
ZOTA,6,1,6,3,3
STANLEY,6,1,5,3,3
SRM,6,1,4,3,3
SPLPETRO,6,1,7,3,3
SPIC,6,1,7,3,3
BLUSPRING,6,1,7,3,3
PDSL,6,1,3,3,3
PAUSHAKLTD,6,1,5,3,3
CAPILLARY,6,1,6,3,3
PAKKA,6,1,4,3,3
CENTEXT,6,1,4,3,3
PFS,6,1,5,3,3
BLKASHYAP,6,1,6,3,3
POKARNA,6,1,4,3,3
POEL,6,1,5,3,3
BIL,6,1,6,3,3
BHARATWIRE,6,1,6,3,3
PRAVEG,6,1,6,3,3
OSWALAGRO,6,1,5,3,3
ORIENTPPR,6,1,7,3,3
ORIENTCEM,6,1,5,3,3
CANTABIL,6,1,5,3,3
PARKHOTELS,6,1,4,3,3
ONIDA,6,1,7,3,3
ADSL,6,1,5,3,3
SUNDROP,6,1,7,3,3
CRISIL,6,1,4,3,3
SUYOG,6,1,5,3,3
SURANAT&P,6,1,5,3,3
SURAJEST,6,1,7,3,3
ADVENTHTL,6,1,6,3,3
NUCLEUS,6,1,5,3,3
COMSYN,6,1,4,3,3
DBL,6,1,7,3,3
NGLFINE,6,2,7,3,3
SWELECTES,6,1,6,3,3
SOLEX,6,1,6,3,3
TARC,6,1,6,3,3
NELCAST,6,1,5,3,3
NDRAUTO,6,1,4,3,3
NAVNETEDUL,6,2,6,3,3
DCMSRIND,6,1,6,3,3
DCMSHRIRAM,6,1,6,3,3
DCI,6,1,5,3,3
DMCC,6,1,4,3,3
ALLTIME,6,1,8,3,3
ALGOQUANT,6,1,7,3,3
AKSHAR,6,1,5,3,3
SMCGLOBAL,6,1,4,3,3
SMARTWORKS,6,1,6,3,3
BFUTILITIE,6,2,6,3,3
BETA,6,1,4,3,3
BESTAGRO,6,2,7,3,3
DUCON,6,2,6,3,3
TEAMLEASE,6,1,4,3,3
TCI,6,1,7,3,3
TATVA,6,1,5,3,3
MVGJL,6,1,7,3,3
MUNJALSHOW,6,1,5,3,3
RADIANTCMS,6,1,5,3,3
PVSL,6,1,7,3,3
PSPPROJECT,6,1,7,3,3
SINCLAIR,6,1,5,3,3
SIKA,6,2,7,3,3
SIGNATURE,6,1,7,3,3
DOLLAR,6,1,7,3,3
MOKSH,6,1,7,3,3
MMP,6,1,4,3,3
DIGISPICE,6,1,5,3,3
DIAMONDYD,6,1,6,3,3
MSPL,6,1,4,3,3
MENNPIS,6,1,6,3,3
MEIL,6,1,4,3,3
MEDICO,6,1,5,3,3
TGVSL,6,1,7,3,3
BAYERCROP,6,1,5,3,3
BASF,6,1,6,3,3
RANASUG,6,1,5,3,3
RAMCOIND,6,1,6,3,3
RAJMET,6,1,4,3,3
THOMASCOOK,6,1,6,3,3
EKI,6,1,5,3,3
EKC,6,1,4,3,3
EFCIL,6,2,6,3,3
EASTWEST,6,1,4,3,3
MCLEODRUSS,6,1,5,3,3
MCL,6,1,4,3,3
MAXESTATES,6,1,6,3,3
MIRZAINT,6,1,5,3,3
ELIN,6,1,6,3,3
TIRUMALCHM,6,1,7,3,3
MANAKCOAT,6,1,5,3,3
MAANALU,6,1,7,3,3
LUXIND,6,1,5,3,3
EXXARO,6,1,5,3,3
TPLPLASTEH,6,1,7,3,3
SHREEPUSHK,6,1,4,3,3
SHREDIGCEM,6,1,5,3,3
RITCO,6,1,4,3,3
FEDDERSHOL,6,1,6,3,3
UBL,6,1,6,3,3
TVSSRICHAK,6,1,7,3,3
TTKHLTCARE,6,1,7,3,3
TSFINV,6,1,4,3,3
LAXMIINDIA,6,1,5,3,3
LAXMIDENTL,6,1,7,3,3
FMGOETZE,6,1,4,3,3
FLAIR,6,1,5,3,3
EXCELINDUS,6,2,7,3,3
GANESHHOU,6,1,6,3,3
LANDMARK,6,1,6,3,3
LANCORHOL,6,1,5,3,3
KRITIKA,6,1,7,3,3
GICHSGFIN,6,1,7,3,3
BALPHARMA,6,1,6,3,3
ROHLTD,6,1,7,3,3
GFLLIMITED,6,1,5,3,3
GEEKAYWIRE,6,1,3,3,3
KOVAI,6,1,4,3,3
KUANTUM,6,1,7,3,3
KHAICHEM,6,2,7,3,3
VADILALIND,6,1,7,3,3
KANPRPLA,6,1,7,3,3
GLOBAL,6,1,6,3,3
KIRLFER,6,2,6,3,3
ANDREWYU,6,1,4,3,3
ANDHRAPAP,6,1,6,3,3
AMRUTANJAN,6,1,6,3,3
AVROIND,6,1,4,3,3
RUCHIRA,6,1,7,3,3
RUCHINFRA,6,1,5,3,3
JUNIPER,6,1,4,3,3
GTPL,6,2,7,3,3
VESUVIUS,6,1,4,3,3
GODAVARIB,6,1,6,3,3
KECL,6,1,5,3,3
GRINDWELL,6,1,6,3,3
JTEKTINDIA,6,1,6,3,3
JSFB,6,1,7,3,3
GOPAL,6,1,4,3,3
KALYANIFRG,6,1,3,3,3
BAJAJST,6,1,6,3,3
SESHAPAPER,6,1,5,3,3
SEIL,6,2,7,3,3
SEAMECLTD,6,1,4,3,3
ANURAS,6,1,5,3,3
ATL,6,1,6,3,3
JKCEMENT,6,1,5,3,3
JISLJALEQS,6,1,6,3,3
HCL-INSYS,6,1,6,3,3
JAICORPLTD,6,1,5,3,3
JAIBALAJI,6,1,5,3,3
HILINFRA,6,1,6,3,3
ITI,6,1,4,3,3
ISGEC,6,1,7,3,3
IPL,6,1,6,3,3
HAWKINCOOK,6,1,7,3,3
SAIPARENT,6,1,5,3,3
SAATVIKGL,6,2,7,3,3
ARIHANTCAP,6,1,4,3,3
ARIES,6,1,5,3,3
HINDWAREAP,6,1,7,3,3
INVENTURE,6,1,6,3,3
INNOVISION,6,1,7,3,3
ICEMAKE,6,1,6,3,3
VSSL,6,1,7,3,3
VRLLOG,6,1,5,3,3
VOEPL,6,1,5,3,3
HUHTAMAKI,6,1,7,3,3
INDOWIND,6,1,5,3,3
INDORAMA,6,1,4,3,3
IGARASHI,6,2,7,3,3
INDOCO,6,1,5,3,3
INDNIPPON,6,1,5,3,3
INDIANHUME,6,1,7,3,3
INDIAGLYCO,6,1,4,3,3
SANSTAR,6,2,6,3,3
SANOFICONR,6,2,7,3,3
SANOFI,6,1,3,3,3
XCHANGING,6,1,6,3,3
WINDLAS,6,1,6,3,3
20MICRONS,6,1,7,3,3
WAAREEINDO,3,1,5,2,2
VSTTILLERS,3,1,4,2,2
IGPL,3,1,4,2,2
VISHNU,3,3,7,2,2
HESTERBIO,3,2,5,2,2
ISFT,3,1,3,2,2
IRISDOREME,3,2,5,2,2
HAZOOR,3,1,3,2,2
JAYSREETEA,3,1,4,2,2
VIRTUALG,3,2,5,2,2
RPSGVENT,3,1,3,2,2
AMBALALSA,3,1,2,2,2
SGIL,3,1,4,2,2
SEKURITIND,3,2,4,2,2
SCODATUBES,3,2,6,2,2
APCL,3,1,6,2,2
ASTRAZEN,3,1,7,2,2
JUBLCPL,3,3,7,2,2
HARIOMPIPE,3,2,4,2,2
GVPTECH,3,1,2,2,2
GOYALALUM,3,2,7,2,2
KALPATARU,3,1,2,2,2
ROSSARI,3,1,3,2,2
SHAHALLOYS,3,1,3,2,2
SHAH,3,1,2,2,2
ANMOL,3,1,8,2,2
AVONMORE,3,2,5,2,2
RUSHIL,3,1,5,2,2
VERANDA,3,1,3,2,2
VEEDOL,3,2,5,2,2
GOKUL,3,3,7,2,2
GOCLCORP,3,1,7,2,2
GOACARBON,3,1,6,2,2
KAMOPAINTS,3,2,7,2,2
GLOBALVECT,3,2,7,2,2
GOODYEAR,3,2,5,2,2
VAISHALI,3,1,6,2,2
KOTHARIPET,3,1,3,2,2
KSE,3,2,6,2,2
KRYSTAL,3,1,3,2,2
GICL,3,1,3,2,2
REMSONSIND,3,1,2,2,2
GAYAPROJ,3,1,2,2,2
GALAPREC,3,2,4,2,2
LANCER,3,1,2,2,2
LAMBODHARA,3,2,4,2,2
LATTEYS,3,2,4,2,2
FOSECOIND,3,1,3,2,2
FOODSIN,3,1,3,2,2
ESTER,3,1,6,2,2
LUMAXIND,3,1,2,2,2
LMW,3,2,5,2,2
SIGNPOST,3,1,7,2,2
SIGMAADV,3,1,3,2,2
RAJSREESUG,3,1,2,2,2
BALAXI,3,1,6,2,2
RBZJEWEL,3,2,5,2,2
BCONCEPTS,3,1,7,2,2
SHRIRAMPPS,3,1,4,2,2
TVSHLTD,3,1,6,2,2
TVSELECT,3,1,2,2,2
TRU,3,1,7,2,2
MANAKALUCO,3,1,3,2,2
MADRASFERT,3,2,5,2,2
MADHAVIPL,3,1,3,2,2
TRITONV,3,1,3,2,2
TRAVELFOOD,3,1,3,2,2
TRACXN,3,1,4,2,2
TNPL,3,1,7,2,2
EPIGRAL,3,1,4,2,2
ENERGYDEV,3,3,7,2,2
MANGALAM,3,1,3,2,2
MATRIMONY,3,2,7,2,2
ELECTHERM,3,1,4,2,2
ALPA,3,2,5,2,2
SKYWAYS,3,1,2,2,2
BHANDARI,3,1,7,2,2
BHAGCHEM,3,2,6,2,2
PUNJABCHEM,3,1,4,2,2
SINDHUTRAD,3,1,7,2,2
TIJARIA,3,2,5,2,2
TIGERLOGS,3,2,6,2,2
ECORECO,3,2,5,2,2
MINDTECK,3,2,6,2,2
MIDWESTLTD,3,3,7,2,2
THEMISMED,3,2,4,2,2
THEJO,3,2,7,2,2
BORANA,3,1,2,2,2
AKI,3,1,3,2,2
AKG,3,1,2,2,2
AGROPHOS,3,4,8,2,2
PROSTARM,3,1,4,2,2
BIRLANU,3,2,6,2,2
TEXMOPIPES,3,1,5,2,2
TERASOFT,3,2,4,2,2
TEMPSENS,3,1,2,2,2
DSSL,3,1,4,2,2
DOLATALGO,3,2,4,2,2
MODISONLTD,3,1,2,2,2
DJML,3,1,6,2,2
SRHHYPOLTD,3,1,4,2,2
SPELS,3,1,3,2,2
BLIL,3,2,6,2,2
PLATIND,3,1,2,2,2
BIGBLOC,3,2,6,2,2
DTIL,3,1,2,2,2
ACL,3,2,5,2,2
ABINFRA,3,1,2,2,2
DEVIT,3,1,7,2,2
NAHARSPING,3,1,2,2,2
NAHARINDUS,3,1,2,2,2
MWL,3,1,3,2,2
MUKANDLTD,3,1,4,2,2
TARACHAND,3,2,5,2,2
NDTV,3,1,4,2,2
NAVKARCORP,3,3,7,2,2
NATIONSTD,3,1,3,2,2
DHATRE,3,2,5,2,2
DHARMAJ,3,1,6,2,2
DEVX,3,1,5,2,2
DCW,3,2,5,2,2
DCMSIL,3,3,7,2,2
DCMNVL,3,1,4,2,2
TAJGVK,3,1,4,2,2
STUDDS,3,1,4,2,2
STEL,3,2,4,2,2
BRIGHOTEL,3,1,4,2,2
BPL,3,2,6,2,2
BOROLTD,3,1,4,2,2
TAALTECH,3,3,7,2,2
SYMBIOTEC,3,1,2,2,2
SWISSMLTRY,3,1,3,2,2
CSM,3,1,3,2,2
CGVAK,3,1,3,2,2
ODIGMA,3,1,2,2,2
COMFINTE,3,3,6,2,2
ADROITINFO,3,2,5,2,2
SUNFLAG,3,2,7,2,2
SUNCLAY,3,2,7,2,2
CCCL,3,3,6,2,2
OSWALGREEN,3,1,6,2,2
ORIRAIL,3,1,3,2,2
ORIENTCER,3,1,2,2,2
CENTURYPLY,3,1,5,2,2
CENTENKA,3,1,7,2,2
SURANASOL,3,1,6,2,2
ADVANIHOTR,3,1,7,2,2
OPTIFIN,3,1,5,2,2
